epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall
1,1.3535005581378936,0.37747804418206216,0.26122201450169086,1.2471977138519288,0.41149628162384033,0.28633309066295626,0.3224248570203781,0.821198296546936
2,1.2135267728567123,0.45909288704395296,0.3316931565105915,1.1656780958175659,0.5569566297531128,0.41574429988861084,0.48629783987998965,0.8225690054893494
3,1.132095564007759,0.5183504450321198,0.3868813706934452,1.0974042510986328,0.5367281329631806,0.39843530774116515,0.45310370206832884,0.8579945850372315
4,1.0759364569187164,0.5480624803900719,0.4164196769893169,1.0275030660629272,0.5924388873577118,0.4544722241163254,0.5396033358573914,0.810163426399231
5,1.0143342971801759,0.5847101572155953,0.4552804189920425,0.9812535929679871,0.5999512326717377,0.45904656052589415,0.5218283152580261,0.8636673331260681
6,0.9554348534345627,0.6151500496268273,0.48610153824090957,0.8929925394058228,0.6812583160400391,0.5540216135978698,0.6553854465484619,0.824935519695282
7,0.893023476600647,0.6638025376200676,0.5392383882403373,0.8849174928665161,0.6641837656497955,0.527533894777298,0.6174370515346527,0.8530673718452454
8,0.8424171948432922,0.6934542253613472,0.573914022743702,0.84280996799469,0.6771287727355957,0.5518693625926971,0.6371185958385468,0.8544866037368775
9,0.7901089578866959,0.726659440100193,0.6118818604946137,0.8307155013084412,0.6799738574028015,0.5519916200637818,0.6263626849651337,0.8560807824134826
10,0.7423186618089676,0.742418472468853,0.6290802299976349,0.7529851984977722,0.707388641834259,0.5928808772563934,0.7247592091560364,0.8047782230377197
11,0.6919843327999115,0.7692440295219422,0.6630348414182663,0.7247049021720886,0.749896011352539,0.6351083397865296,0.7600459313392639,0.827370114326477
12,0.6541344127058983,0.7780470561981201,0.674212372303009,0.6741090607643128,0.7427264738082886,0.6377517557144166,0.8358758568763733,0.760592622756958
13,0.6026133224368095,0.8035828530788421,0.7048029962182045,0.6648220181465149,0.7423013997077942,0.6345497584342956,0.8066047668457031,0.7842043602466583
14,0.5600744765996933,0.8281477898359298,0.7369883292913437,0.6270214819908142,0.7521218013763428,0.6464808714389801,0.8021981954574585,0.8009740853309631
15,0.5153984168171882,0.845144664645195,0.7587755176424981,0.6498600959777832,0.7255245852470398,0.625297257900238,0.8660361814498901,0.7166653978824615
16,0.47440367221832275,0.8637148815393448,0.7835610496997834,0.6007987070083618,0.7555215978622436,0.6413838422298431,0.7429379153251648,0.8611072945594788
17,0.43243176490068436,0.8780745995044709,0.801849109530449,0.5854811656475067,0.7716977167129516,0.6658096981048583,0.7729888033866882,0.856630244255066
18,0.3965234741568565,0.8872350323200225,0.8160507225990296,0.5683575093746185,0.7625530743598938,0.652895495891571,0.7656486320495606,0.8293611741065979
19,0.36311205446720124,0.8982708239555359,0.8307410597801208,0.5642697465419769,0.7416672015190124,0.6389993822574616,0.8682153463363648,0.729720778465271
20,0.34165000781416893,0.8994239675998688,0.8334841221570969,0.5481117200851441,0.7637419629096985,0.657101309299469,0.8035753417015076,0.8065192580223084
21,0.3166283839941025,0.9086159336566925,0.8460777980089188,0.619248036146164,0.7278849220275879,0.611378231048584,0.6885729265213013,0.8753762292861939
22,0.28164242252707483,0.9211637657880783,0.8639721405506134,0.6275032031536102,0.6946319389343262,0.5991906082630157,0.9070042252540589,0.6458613514900208
23,0.26521361082792283,0.9223567748069763,0.8660688132047654,0.48753610253334045,0.7907931518554687,0.6935072219371796,0.8468986535072327,0.8123865294456482
24,0.2441300317645073,0.9302282530069351,0.8779889196157455,0.5086595726013183,0.7826295447349548,0.6751864242553711,0.7776035928726196,0.8582537245750427
25,0.2234899903833866,0.9350205552577973,0.8842005157470703,0.4626042085886002,0.7924093770980835,0.69489515542984,0.8211029863357544,0.8319123315811158
26,0.21178917899727823,0.9333242857456208,0.8835753673315048,0.4992190432548523,0.77209557056427,0.6728389763832092,0.8603428149223328,0.7795900726318359
27,0.19817034497857094,0.9382041817903519,0.8909495413303375,0.6163780272006989,0.751559100151062,0.640566234588623,0.7197166204452514,0.8845420789718628
28,0.17001152515411377,0.949971451163292,0.9089938533306122,0.46361429393291476,0.787494044303894,0.6921812844276428,0.8270332980155944,0.8258963179588318
29,0.14996869973838328,0.9570151871442795,0.9204220414161682,0.4341446214914322,0.8022623467445373,0.7106765031814575,0.8601329350471496,0.8116007924079895
30,0.1391932552307844,0.9607295775413514,0.9262596744298935,0.5087979507446289,0.7723622250556946,0.6633122146129609,0.7669605302810669,0.858094379901886
31,0.13500895373523236,0.9586525642871857,0.9236103796958923,0.44709828615188596,0.7953145360946655,0.6988213229179382,0.8435973334312439,0.8235101318359375
32,0.20569620668888092,0.9153321784734726,0.8585808449983596,0.47471645832061765,0.7655407929420471,0.6701165115833283,0.8687040400505066,0.7578419709205627
33,0.20025571063160896,0.9189712285995484,0.8628629583120346,0.5683531069755554,0.711849012374878,0.6127614152431488,0.8955775809288025,0.6764421010017395
34,0.14020684957504273,0.9489352744817734,0.9074991434812546,0.4324825286865234,0.7962637567520141,0.704780752658844,0.8827256965637207,0.7998361599445343
35,0.11181436039507389,0.9623098903894425,0.9297526234388351,0.42117472887039187,0.7991387343406677,0.7042812192440033,0.8617378544807434,0.8161294364929199
36,0.10058411821722985,0.966588471531868,0.9373207110166549,0.40712088882923125,0.8139176344871522,0.7196371448040009,0.868634066581726,0.8259824299812317
37,0.08904136132448912,0.9698344796895981,0.9433543407917022,0.4262330275774002,0.8015356659889221,0.7056888210773468,0.8604936027526855,0.8196072435379028
38,0.08380800537765026,0.9709847736358642,0.9455360013246537,0.42624333322048186,0.8023336338996887,0.7076150453090668,0.8724213409423828,0.8116190552711486
39,0.07712527140974998,0.9728715693950654,0.9489531737565994,0.413307266831398,0.8110932826995849,0.7179518902301788,0.8697997856140137,0.8241355323791504
